SSA,Age 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.851562,8 Days 
0.851562,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.851562,8 Days 
,
,
,
,
,
0.804688,8 Days 
0.820312,8 Days 
0.820312,8 Days 
0.84375,8 Days 
0.828125,8 Days 
,
,
,
,
,
,
0.828125,8 Days 
0.84375,8 Days 
0.84375,8 Days 
0.820312,8 Days 
0.828125,8 Days 
,
0.828125,8 Days 
0.828125,8 Days 
0.828125,8 Days 
,
0.804688,8 Days 
0.859375,8 Days 
0.875,8 Days 
0.898438,8 Days 
0.859375,8 Days 
0.84375,8 Days 
,
,
,
,
,
,
,
,
,
,
,
,
0.84375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.859375,8 Days 
0.867188,8 Days 
0.867188,8 Days 
,
,
,
0.867188,8 Days 
0.867188,8 Days 
0.859375,8 Days 
0.84375,8 Days 
0.851562,8 Days 
0.867188,8 Days 
0.859375,8 Days 
0.851562,8 Days 
,
0.851562,8 Days 
0.867188,8 Days 
0.851562,8 Days 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.828125,8 Days 
0.828125,8 Days 
0.890625,8 Days 
